Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_PerUnit,Units_Sold,Total_Sales,Operating_Profit,Operating_Margin(%),Sales_Method,Month,IndexMonth,Gender
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,In-store,January,01,False
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store,January,01,False
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,0.35,In-store,January,01,True
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,0.35,In-store,January,01,True
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,In-store,January,01,False
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,In-store,January,01,True
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500,0.5,In-store,January,01,False
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,January,01,False
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet,January,01,True
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937,0.35,Outlet,January,01,True
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,January,01,False
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,Outlet,January,01,True
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000,0.5,Outlet,January,01,False
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750,0.3,Outlet,January,01,False
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet,January,01,True
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,125999,0.35,Outlet,January,01,True
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60,850,510000,153000,0.3,Outlet,January,01,False
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet,January,01,True
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,Outlet,January,01,False
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,February,02,False
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40,900,360000,125999,0.35,Outlet,February,02,True
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937,0.35,Outlet,February,02,True
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60,825,495000,148500,0.3,Outlet,February,02,False
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet,February,02,True
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000,0.5,Outlet,February,02,False
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55,925,508750,152625,0.3,Outlet,February,02,False
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,0.35,Outlet,February,02,True
